./log/PM2.5/pc_0.8-pm_0.2-pop_30-gen_40-bestonly_True-percensplit_10-percenbacktest_0-split_True-fixed_False-shuffle_False\GA,"[0, 1, 1, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1]",36110.98001122475
./log/PM2.5/pc_0.8-pm_0.2-pop_30-gen_40-bestonly_True-percensplit_10-percenbacktest_0-split_True-fixed_False-shuffle_True\GA,"[0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 1, 1, 1]",17019.470033168793
./log/PM2.5/pc_0.8-pm_0.2-pop_30-gen_40-bestonly_True-percensplit_10-percenbacktest_0-split_True-fixed_True-shuffle_False\GA,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",24768.671451807022
./log/PM2.5/pc_0.8-pm_0.2-pop_30-gen_40-bestonly_True-percensplit_10-percenbacktest_0-split_True-fixed_True-shuffle_True\GA,"[1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1]",17285.236179113388
./log/PM2.5/pc_0.8-pm_0.2-pop_30-gen_40-bestonly_True-percensplit_10-percenbacktest_10-split_True-fixed_False-shuffle_False\GA,"[0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1]",42034.26218175888
./log/PM2.5/pc_0.8-pm_0.2-pop_30-gen_40-bestonly_True-percensplit_10-percenbacktest_10-split_True-fixed_False-shuffle_True\GA,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1]",18602.463171482086
./log/PM2.5/pc_0.8-pm_0.2-pop_30-gen_40-bestonly_True-percensplit_10-percenbacktest_10-split_True-fixed_True-shuffle_False\GA,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1]",25745.47094964981
./log/PM2.5/pc_0.8-pm_0.2-pop_30-gen_40-bestonly_True-percensplit_10-percenbacktest_10-split_True-fixed_True-shuffle_True\GA,"[1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]",21892.407351017
./log/PM2.5/pc_0.8-pm_0.2-pop_30-gen_40-bestonly_True-percensplit_10-percenbacktest_100-split_True-fixed_False-shuffle_False\GA,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",21524.10008239746
./log/PM2.5/pc_0.8-pm_0.2-pop_30-gen_40-bestonly_True-percensplit_10-percenbacktest_100-split_True-fixed_False-shuffle_True\GA,"[0, 1, 1, 0, 1, 1, 0, 0, 0, 1, 1, 1, 1]",27322.042895555496
./log/PM2.5/pc_0.8-pm_0.2-pop_30-gen_40-bestonly_True-percensplit_10-percenbacktest_100-split_True-fixed_True-shuffle_False\GA,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1]",27903.199738502502
./log/PM2.5/pc_0.8-pm_0.2-pop_30-gen_40-bestonly_True-percensplit_10-percenbacktest_100-split_True-fixed_True-shuffle_True\GA,"[0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1]",21889.730053186417
./log/PM2.5/pc_0.8-pm_0.2-pop_30-gen_40-bestonly_True-percensplit_10-percenbacktest_20-split_True-fixed_False-shuffle_False\GA,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]",44570.977598428726
./log/PM2.5/pc_0.8-pm_0.2-pop_30-gen_40-bestonly_True-percensplit_10-percenbacktest_20-split_True-fixed_False-shuffle_True\GA,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",27587.617470502853
./log/PM2.5/pc_0.8-pm_0.2-pop_30-gen_40-bestonly_True-percensplit_10-percenbacktest_20-split_True-fixed_True-shuffle_False\GA,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1]",27122.55088376999
./log/PM2.5/pc_0.8-pm_0.2-pop_30-gen_40-bestonly_True-percensplit_10-percenbacktest_20-split_True-fixed_True-shuffle_True\GA,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]",22972.715039491653
./log/PM2.5/pc_0.8-pm_0.2-pop_30-gen_40-bestonly_True-percensplit_10-percenbacktest_40-split_True-fixed_False-shuffle_False\GA,"[0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0]",32253.019152402878
./log/PM2.5/pc_0.8-pm_0.2-pop_30-gen_40-bestonly_True-percensplit_10-percenbacktest_40-split_True-fixed_False-shuffle_True\GA,"[0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",29484.189704418182
./log/PM2.5/pc_0.8-pm_0.2-pop_30-gen_40-bestonly_True-percensplit_10-percenbacktest_40-split_True-fixed_True-shuffle_False\GA,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1]",29567.84674668312
./log/PM2.5/pc_0.8-pm_0.2-pop_30-gen_40-bestonly_True-percensplit_10-percenbacktest_40-split_True-fixed_True-shuffle_True\GA,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 1, 1]",24023.682176828384
./log/PM2.5/pc_0.8-pm_0.2-pop_30-gen_40-bestonly_True-percensplit_10-percenbacktest_60-split_True-fixed_False-shuffle_False\GA,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1]",32188.51773738861
./log/PM2.5/pc_0.8-pm_0.2-pop_30-gen_40-bestonly_True-percensplit_10-percenbacktest_60-split_True-fixed_False-shuffle_True\GA,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1]",31804.643620967865
./log/PM2.5/pc_0.8-pm_0.2-pop_30-gen_40-bestonly_True-percensplit_10-percenbacktest_60-split_True-fixed_True-shuffle_False\GA,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]",23496.949976682663
./log/PM2.5/pc_0.8-pm_0.2-pop_30-gen_40-bestonly_True-percensplit_10-percenbacktest_60-split_True-fixed_True-shuffle_True\GA,"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1]",26050.17914223671
./log/PM2.5/pc_0.8-pm_0.2-pop_30-gen_40-bestonly_True-percensplit_10-percenbacktest_80-split_True-fixed_False-shuffle_False\GA,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1]",33838.62546277046
./log/PM2.5/pc_0.8-pm_0.2-pop_30-gen_40-bestonly_True-percensplit_10-percenbacktest_80-split_True-fixed_False-shuffle_True\GA,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]",34224.70966243744
./log/PM2.5/pc_0.8-pm_0.2-pop_30-gen_40-bestonly_True-percensplit_10-percenbacktest_80-split_True-fixed_True-shuffle_False\GA,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1]",26221.518416404724
./log/PM2.5/pc_0.8-pm_0.2-pop_30-gen_40-bestonly_True-percensplit_10-percenbacktest_80-split_True-fixed_True-shuffle_True\GA,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 1]",21537.457377672195
